"Int.ID","Foc.Species","Foc.Phase","Int.Species","Int.Phase","area.mkde.95"
"AQ_Interspecific_DI_01","Scvetula","TP","Spviride","TP",271.242001683422
"AQ_Interspecific_DI_01","Spviride","TP","Scvetula","TP",295.825868905484
"AQ_Interspecific_DI_02","Scvetula","TP","Spviride","TP",204.865560183853
"AQ_Interspecific_DI_02","Spviride","TP","Scvetula","TP",327.784896294165
"AQ_Interspecific_DI_03","Scvetula","TP","Spviride","TP",350.729839034757
"AQ_Interspecific_DI_03","Spviride","TP","Scvetula","TP",564.6094838667
"AQ_Interspecific_DI_04","Scvetula","TP","Spviride","TP",288.450708738866
"AQ_Interspecific_DI_04","Spviride","TP","Scvetula","TP",376.95263073829
"AQ_Interspecific_DI_05","Scvetula","TP","Spviride","TP",299.103717868426
"AQ_Interspecific_DI_05","Spviride","TP","Scvetula","TP",485.9411087561
"AQ_Intraspecific_DI_01","Spviride","IP","Spviride","TP",205.685022424589
"AQ_Intraspecific_DI_01","Spviride","TP","Spviride","IP",236.824587572534
"AQ_Intraspecific_DI_02","Spviride","IP","Spviride","TP",205.685022424589
"AQ_Intraspecific_DI_02","Spviride","TP","Spviride","IP",440.051223274917
"AQ_Intraspecific_DI_03","Spviride","IP","Spviride","TP",35.2368763516228
"AQ_Intraspecific_DI_03","Spviride","TP","Spviride","IP",223.713191720768
"AQ_Intraspecific_DI_04","Spviride","IP","Spviride","TP",109.807940258545
"AQ_Intraspecific_DI_04","Spviride","TP","Spviride","IP",620.332916236708
"AQ_Intraspecific_DI_05","Spviride","IP","Spviride","TP",74.5710639069226
"AQ_Intraspecific_DI_05","Spviride","TP","Spviride","IP",215.518569313414
"IV_Interspecific_DI_01","Scvetula","TP","Spviride","TP",389.339363352621
"IV_Interspecific_DI_01","Spviride","TP","Scvetula","TP",402.046722446633
"IV_Interspecific_DI_02","Scvetula","TP","Spviride","TP",355.806054632314
"IV_Interspecific_DI_02","Spviride","TP","Scvetula","TP",313.44819098561
"IV_Interspecific_DI_03","Scvetula","TP","Spviride","TP",274.620149309465
"IV_Interspecific_DI_03","Spviride","TP","Scvetula","TP",343.451677735359
"IV_Interspecific_DI_04","Scvetula","TP","Spviride","TP",330.391336444292
"IV_Interspecific_DI_04","Spviride","TP","Scvetula","TP",393.222167520236
"IV_Intraspecific_DI_01","Spviride","IP","Spviride","TP",125.661662151889
"IV_Intraspecific_DI_01","Spviride","TP","Spviride","IP",193.081261789559
"IV_Intraspecific_DI_02","Spviride","IP","Spviride","TP",232.262285662761
"IV_Intraspecific_DI_02","Spviride","TP","Spviride","IP",357.217983420538
"IV_Intraspecific_DI_03","Spviride","IP","Spviride","TP",193.081261789559
"IV_Intraspecific_DI_03","Spviride","TP","Spviride","IP",320.860817123783
"IV_Intraspecific_DI_04","Spviride","IP","Spviride","TP",123.896751166609
"IV_Intraspecific_DI_04","Spviride","TP","Spviride","IP",398.86988267313
"IV_Intraspecific_DI_05","Spviride","IP","Spviride","TP",197.31704815423
"IV_Intraspecific_DI_05","Spviride","TP","Spviride","IP",367.454467135158
